id;employee_id;course_id;old_butee_date;is_long_absence;quiz_history_id;evaluation_id;renewal_formir49_id;quiz_passed;is_present;moring_presence;afternoon_presence;level
140;2481;1743;2024-01-31 12:00:00;;;;;;;;;
141;2481;1725;2025-01-31 12:00:00;;;;;;;;;
142;2362;1786;2022-12-31 12:00:00;;;;;;;;;
143;2362;1835;2023-12-31 12:00:00;;;;;;;;;
144;2362;1754;2024-12-31 12:00:00;;;;;;;;;
145;528;1720;2023-01-31 12:00:00;;;;;;;;;
146;528;1766;2024-01-31 12:00:00;;;;;;;;;
147;528;1725;2025-01-31 12:00:00;;;;;;;;;
148;935;1720;2023-01-31 12:00:00;;;;;;;;;
149;935;1766;2024-01-31 12:00:00;;;;;;;;;
150;935;1725;2025-01-31 12:00:00;;;;;;;;;
151;1409;1720;2023-01-31 12:00:00;;;;;;;;;
152;1409;1792;2024-01-31 12:00:00;;;;;;;;;
153;1409;1754;2025-01-31 12:00:00;;;;;;;;;
154;1704;1780;2023-01-31 12:00:00;;;;;;;;;
155;1704;1792;2024-01-31 12:00:00;;;;;;;;;
156;1704;1725;2025-01-31 12:00:00;;;;;;;;;
157;6236;1704;2023-01-31 12:00:00;;;;;;;;;
158;6236;1766;2024-01-31 12:00:00;;;;;;;;;
159;6236;1725;2025-01-31 12:00:00;;;;;;;;;
160;6252;1704;2023-01-31 12:00:00;;;;;;;;;
161;6252;1792;2024-01-31 12:00:00;;;;;;;;;
162;6252;1725;2025-01-31 12:00:00;;;;;;;;;
163;6284;1704;2023-01-31 12:00:00;;;;;;;;;
164;6284;1792;2024-01-31 12:00:00;;;;;;;;;
165;6284;1725;2025-01-31 12:00:00;;;;;;;;;
166;2032;1737;2022-12-31 12:00:00;;;;;;;;;
167;2032;1700;2023-12-31 12:00:00;;;;;;;;;
168;2032;1754;2024-12-31 12:00:00;;;;;;;;;
169;304;1814;2023-06-30 12:00:00;;;;;;;;;
170;304;1795;2024-02-29 12:00:00;;;;;;;;;
171;304;1725;2025-02-28 12:00:00;;;;;;;;;
172;1682;1702;2022-12-31 12:00:00;;;;;;;;;
173;1682;1763;2023-12-31 12:00:00;;;;;;;;;
174;1682;1754;2024-12-31 12:00:00;;;;;;;;;
175;7070;1748;2023-11-30 12:00:00;;;;;;;;;
176;7070;1826;2024-11-30 12:00:00;;;;;;;;;
177;280;1734;2023-06-30 12:00:00;;;;;;;;;
178;280;1742;2023-10-31 12:00:00;;;;;;;;;
179;280;1826;2024-10-31 12:00:00;;;;;;;;;
180;536;1821;2022-11-30 12:00:00;;;;;;;;;
181;536;1785;2023-11-30 12:00:00;;;;;;;;;
182;536;1826;2024-11-30 12:00:00;;;;;;;;;
183;116;1779;2022-11-30 12:00:00;;;;;;;;;
184;116;1699;2023-11-30 12:00:00;;;;;;;;;
185;116;1826;2024-11-30 12:00:00;;;;;;;;;
186;460;1817;2022-06-30 12:00:00;;;;;;;;;
187;460;1799;2023-06-30 12:00:00;;;;;;;;;
188;460;1807;2024-06-30 12:00:00;;;;;;;;;
189;1710;1735;2023-02-28 12:00:00;;;;;;;;;
190;1710;1743;2024-02-29 12:00:00;;;;;;;;;
191;1710;1818;2025-02-28 12:00:00;;;;;;;;;
192;2456;1780;2023-01-31 12:00:00;;;;;;;;;
193;2456;1743;2024-01-31 12:00:00;;;;;;;;;
194;2456;1818;2025-01-31 12:00:00;;;;;;;;;
195;1776;1789;2022-11-30 12:00:00;;;;;;;;;
196;1776;1785;2023-11-30 12:00:00;;;;;;;;;
197;1776;1826;2024-11-30 12:00:00;;;;;;;;;
198;933;1821;2022-11-30 12:00:00;;;;;;;;;
199;933;1863;2023-11-30 12:00:00;;;;;;;;;
200;933;1826;2024-11-30 12:00:00;;;;;;;;;
201;2287;1848;2022-02-28 12:00:00;;;;;;;;;
202;2287;1683;2024-01-31 12:00:00;;;;;;;;;
203;2287;1725;2025-01-31 12:00:00;;;;;;;;;
204;2445;1821;2022-12-31 12:00:00;;;;;;;;;
205;2445;1785;2023-12-31 12:00:00;;;;;;;;;
206;2445;1754;2024-12-31 12:00:00;;;;;;;;;
207;419;1711;2023-01-31 12:00:00;;;;;;;;;
208;419;1851;2024-01-31 12:00:00;;;;;;;;;
209;419;1818;2025-01-31 12:00:00;;;;;;;;;
210;418;1816;2022-06-30 12:00:00;;;;;;;;;
211;418;1768;2023-06-30 12:00:00;;;;;;;;;
212;418;1807;2024-06-30 12:00:00;;;;;;;;;
213;58;1813;2022-06-30 12:00:00;;;;;;;;;
214;58;1745;2023-06-30 12:00:00;;;;;;;;;
215;58;1807;2024-06-30 12:00:00;;;;;;;;;
216;2601;1750;2022-12-31 12:00:00;;;;;;;;;
217;2601;1700;2023-12-31 12:00:00;;;;;;;;;
218;2601;1754;2024-12-31 12:00:00;;;;;;;;;
219;2600;1750;2022-12-31 12:00:00;;;;;;;;;
220;2600;1700;2023-12-31 12:00:00;;;;;;;;;
221;2600;1754;2024-12-31 12:00:00;;;;;;;;;
222;281;1755;2023-06-30 12:00:00;;;;;;;;;
223;281;1795;2024-02-29 12:00:00;;;;;;;;;
224;281;1725;2025-02-28 12:00:00;;;;;;;;;
225;509;1789;2022-11-30 12:00:00;;;;;;;;;
226;509;1763;2023-11-30 12:00:00;;;;;;;;;
227;509;1826;2024-11-30 12:00:00;;;;;;;;;
228;1843;1788;2022-06-30 12:00:00;;;;;;;;;
229;1843;1775;2023-06-30 12:00:00;;;;;;;;;
230;1843;1807;2024-06-30 12:00:00;;;;;;;;;
231;1608;1696;2022-07-31 12:00:00;;;;;;;;;
232;1608;1855;2023-07-31 12:00:00;;;;;;;;;
233;1608;1807;2024-07-31 12:00:00;;;;;;;;;
234;1676;1812;2023-06-30 12:00:00;;;;;;;;;
235;1676;1713;2023-09-30 12:00:00;;;;;;;;;
236;1676;1838;2024-04-30 12:00:00;;;;;;;;;
237;1976;1716;2022-06-30 12:00:00;;;;;;;;;
238;1976;1773;2023-06-30 12:00:00;;;;;;;;;
239;1976;1807;2024-06-30 12:00:00;;;;;;;;;
240;117;1789;2022-10-31 12:00:00;;;;;;;;;
241;117;1794;2023-10-31 12:00:00;;;;;;;;;
242;117;1826;2024-10-31 12:00:00;;;;;;;;;
243;1863;1715;2022-06-30 12:00:00;;;;;;;;;
244;1863;1814;2023-06-30 12:00:00;;;;;;;;;
245;1863;1807;2024-06-30 12:00:00;;;;;;;;;
246;2388;1783;2022-09-30 12:00:00;;;;;;;;;
247;2388;1776;2023-09-30 12:00:00;;;;;;;;;
248;2388;1826;2024-10-31 12:00:00;;;;;;;;;
249;7052;1856;2024-05-31 12:00:00;;;;;;;;;
250;6932;1856;2024-05-31 12:00:00;;;;;;;;;
251;6934;1856;2024-05-31 12:00:00;;;;;;;;;
252;7053;1753;2024-07-31 12:00:00;;;;;;;;;
253;7054;1753;2024-07-31 12:00:00;;;;;;;;;
254;6914;1753;2024-07-31 12:00:00;;;;;;;;;
255;2063;1846;2022-11-30 12:00:00;;;;;;;;;
256;2063;1801;2023-11-30 12:00:00;;;;;;;;;
257;2063;1811;2024-11-30 12:00:00;;;;;;;;;
258;7062;1748;2023-11-30 12:00:00;;;;;;;;;
259;7062;1811;2024-11-30 12:00:00;;;;;;;;;
260;2219;1745;2023-07-31 12:00:00;;;;;;;;;
261;2219;1699;2023-11-30 12:00:00;;;;;;;;;
262;2219;1811;2024-11-30 12:00:00;;;;;;;;;
263;7071;1748;2023-11-30 12:00:00;;;;;;;;;
264;7071;1811;2024-11-30 12:00:00;;;;;;;;;
265;6919;1694;2023-09-30 12:00:00;;;;;;;;;
266;6919;1806;2024-09-30 12:00:00;;;;;;;;;
267;6940;1801;2023-10-31 12:00:00;;;;;;;;;
268;6940;1746;2024-10-31 12:00:00;;;;;;;;;
269;6941;1801;2023-10-31 12:00:00;;;;;;;;;
270;6941;1811;2024-10-31 12:00:00;;;;;;;;;
271;6942;1762;2023-12-31 12:00:00;;;;;;;;;
272;6942;1746;2024-12-31 12:00:00;;;;;;;;;
273;7057;1748;2023-11-30 12:00:00;;;;;;;;;
274;7057;1811;2024-11-30 12:00:00;;;;;;;;;
275;218;1796;2023-02-28 12:00:00;;;;;;;;;
276;218;1742;2023-10-31 12:00:00;;;;;;;;;
277;218;1806;2024-10-31 12:00:00;;;;;;;;;
278;291;1745;2023-07-31 12:00:00;;;;;;;;;
279;291;1742;2023-10-31 12:00:00;;;;;;;;;
280;291;1806;2024-10-31 12:00:00;;;;;;;;;
281;1917;1755;2023-07-31 12:00:00;;;;;;;;;
282;1917;1699;2023-11-30 12:00:00;;;;;;;;;
283;1917;1811;2024-11-30 12:00:00;;;;;;;;;
284;2047;1745;2023-07-31 12:00:00;;;;;;;;;
285;2047;1699;2023-11-30 12:00:00;;;;;;;;;
286;2047;1811;2024-11-30 12:00:00;;;;;;;;;
287;2161;1846;2022-10-31 12:00:00;;;;;;;;;
288;2161;1699;2023-11-30 12:00:00;;;;;;;;;
289;2161;1811;2024-11-30 12:00:00;;;;;;;;;
290;2221;1737;2022-12-31 12:00:00;;;;;;;;;
291;2221;1699;2023-12-31 12:00:00;;;;;;;;;
292;2221;1852;2024-12-31 12:00:00;;;;;;;;;
293;1473;1720;2022-12-31 12:00:00;;;;;;;;;
294;1473;1699;2023-12-31 12:00:00;;;;;;;;;
295;1473;1746;2024-12-31 12:00:00;;;;;;;;;
296;249;1731;2022-12-31 12:00:00;;;;;;;;;
297;249;1785;2023-12-31 12:00:00;;;;;;;;;
298;249;1806;2024-09-30 12:00:00;;;;;;;;;
299;72;1731;2022-12-31 12:00:00;;;;;;;;;
300;72;1863;2023-12-31 12:00:00;;;;;;;;;
301;72;1811;2024-12-31 12:00:00;;;;;;;;;
302;147;1821;2022-11-30 12:00:00;;;;;;;;;
303;147;1863;2023-11-30 12:00:00;;;;;;;;;
304;147;1746;2024-11-30 12:00:00;;;;;;;;;
305;459;1724;2022-11-30 12:00:00;;;;;;;;;
306;459;1863;2023-11-30 12:00:00;;;;;;;;;
307;459;1746;2024-11-30 12:00:00;;;;;;;;;
308;2224;1813;2022-06-30 12:00:00;;;;;;;;;
309;2224;1785;2023-10-31 12:00:00;;;;;;;;;
310;2224;1806;2024-10-31 12:00:00;;;;;;;;;
311;776;1846;2022-11-30 12:00:00;;;;;;;;;
312;776;1766;2023-11-30 12:00:00;;;;;;;;;
313;776;1746;2024-11-30 12:00:00;;;;;;;;;
314;2239;1786;2022-12-31 12:00:00;;;;;;;;;
315;2239;1766;2023-12-31 12:00:00;;;;;;;;;
316;2239;1746;2024-12-31 12:00:00;;;;;;;;;
317;2301;1772;2022-06-30 12:00:00;;;;;;;;;
318;2301;1768;2023-06-30 12:00:00;;;;;;;;;
319;2301;1854;2024-06-30 12:00:00;;;;;;;;;
320;2326;1780;2023-01-31 12:00:00;;;;;;;;;
321;2326;1785;2023-10-31 12:00:00;;;;;;;;;
322;2326;1746;2024-10-31 12:00:00;;;;;;;;;
323;2444;1720;2023-01-31 12:00:00;;;;;;;;;
324;2444;1785;2023-10-31 12:00:00;;;;;;;;;
325;2444;1806;2024-10-31 12:00:00;;;;;;;;;
326;6937;1821;2022-11-30 12:00:00;;;;;;;;;
327;6937;1730;2023-11-30 12:00:00;;;;;;;;;
328;6937;1811;2024-11-30 12:00:00;;;;;;;;;
329;485;1779;2022-11-30 12:00:00;;;;;;;;;
330;485;1763;2023-11-30 12:00:00;;;;;;;;;
331;485;1811;2024-11-30 12:00:00;;;;;;;;;
332;510;1722;2022-06-30 12:00:00;;;;;;;;;
333;510;1745;2023-06-30 12:00:00;;;;;;;;;
334;510;1854;2024-06-30 12:00:00;;;;;;;;;
335;1586;1821;2022-11-30 12:00:00;;;;;;;;;
336;1586;1700;2023-11-30 12:00:00;;;;;;;;;
337;1586;1811;2024-11-30 12:00:00;;;;;;;;;
338;1631;1821;2022-11-30 12:00:00;;;;;;;;;
339;1631;1713;2023-11-30 12:00:00;;;;;;;;;
340;1631;1806;2024-11-30 12:00:00;;;;;;;;;
341;1652;1789;2022-10-31 12:00:00;;;;;;;;;
342;1652;1730;2023-10-31 12:00:00;;;;;;;;;
343;1652;1806;2024-10-31 12:00:00;;;;;;;;;
344;934;1780;2022-12-31 12:00:00;;;;;;;;;
345;934;1763;2023-12-31 12:00:00;;;;;;;;;
346;934;1811;2024-12-31 12:00:00;;;;;;;;;
347;2591;1737;2022-10-31 12:00:00;;;;;;;;;
348;2591;1730;2023-10-31 12:00:00;;;;;;;;;
349;2591;1806;2024-10-31 12:00:00;;;;;;;;;
350;359;1783;2022-10-31 12:00:00;;;;;;;;;
351;359;1794;2023-10-31 12:00:00;;;;;;;;;
352;359;1806;2024-10-31 12:00:00;;;;;;;;;
353;2148;1783;2022-09-30 12:00:00;;;;;;;;;
354;2148;1794;2023-09-30 12:00:00;;;;;;;;;
355;2148;1806;2024-09-30 12:00:00;;;;;;;;;
356;1741;1739;2022-04-30 12:00:00;;;;;;;;;
357;1741;1721;2023-04-30 12:00:00;;;;;;;;;
358;1741;1769;2024-04-30 12:00:00;;;;;;;;;
359;2483;1716;2022-05-31 12:00:00;;;;;;;;;
360;2483;1765;2023-05-31 12:00:00;;;;;;;;;
361;2483;1769;2024-05-31 12:00:00;;;;;;;;;
362;6925;1692;2024-04-30 12:00:00;;;;;;;;;
363;6926;1692;2024-04-30 12:00:00;;;;;;;;;
364;2102;1786;2022-12-31 12:00:00;;;;;;;;;
365;2102;1801;2023-12-31 12:00:00;;;;;;;;;
366;2102;1698;2024-12-31 12:00:00;;;;;;;;;
367;6918;1694;2023-09-30 12:00:00;;;;;;;;;
368;6918;1843;2024-09-30 12:00:00;;;;;;;;;
369;493;1813;2022-06-30 12:00:00;;;;;;;;;
370;493;1799;2023-06-30 12:00:00;;;;;;;;;
371;493;1784;2024-06-30 12:00:00;;;;;;;;;
372;2385;1786;2022-12-31 12:00:00;;;;;;;;;
373;2385;1699;2023-12-31 12:00:00;;;;;;;;;
374;2385;1685;2024-12-31 12:00:00;;;;;;;;;
375;89;1716;2022-06-30 12:00:00;;;;;;;;;
376;89;1799;2023-06-30 12:00:00;;;;;;;;;
377;89;1784;2024-06-30 12:00:00;;;;;;;;;
378;2261;1715;2022-06-30 12:00:00;;;;;;;;;
379;2261;1799;2023-06-30 12:00:00;;;;;;;;;
380;2261;1697;2024-06-30 12:00:00;;;;;;;;;
381;2351;1720;2023-01-31 12:00:00;;;;;;;;;
382;2351;1699;2024-01-31 12:00:00;;;;;;;;;
383;2351;1685;2025-01-31 12:00:00;;;;;;;;;
384;1902;1788;2022-06-30 12:00:00;;;;;;;;;
385;1902;1734;2023-06-30 12:00:00;;;;;;;;;
386;1902;1858;2024-06-30 12:00:00;;;;;;;;;
387;676;1716;2022-06-30 12:00:00;;;;;;;;;
388;676;1734;2023-06-30 12:00:00;;;;;;;;;
389;676;1692;2024-06-30 12:00:00;;;;;;;;;
390;1440;1779;2022-09-30 12:00:00;;;;;;;;;
391;1440;1776;2023-09-30 12:00:00;;;;;;;;;
392;1440;1843;2024-09-30 12:00:00;;;;;;;;;
393;1775;1813;2022-06-30 12:00:00;;;;;;;;;
394;1775;1768;2023-06-30 12:00:00;;;;;;;;;
395;1775;1697;2024-06-30 12:00:00;;;;;;;;;
396;205;1761;2022-09-30 12:00:00;;;;;;;;;
397;205;1776;2023-09-30 12:00:00;;;;;;;;;
398;205;1698;2024-10-31 12:00:00;;;;;;;;;
399;468;1720;2023-01-31 12:00:00;;;;;;;;;
400;468;1792;2024-01-31 12:00:00;;;;;;;;;
401;468;1798;2024-10-31 12:00:00;;;;;;;;;
402;344;1821;2022-11-30 12:00:00;;;;;;;;;
403;344;1791;2023-03-31 12:00:00;;;;;;;;;
404;344;1710;2024-03-31 12:00:00;;;;;;;;;
405;669;1726;2022-07-31 12:00:00;;;;;;;;;
406;669;1773;2023-07-31 12:00:00;;;;;;;;;
407;669;1858;2024-07-31 12:00:00;;;;;;;;;
408;780;1726;2022-06-30 12:00:00;;;;;;;;;
409;780;1775;2023-06-30 12:00:00;;;;;;;;;
410;780;1697;2024-06-30 12:00:00;;;;;;;;;
411;1392;1844;2022-06-30 12:00:00;;;;;;;;;
412;1392;1745;2023-06-30 12:00:00;;;;;;;;;
413;1392;1843;2024-07-31 12:00:00;;;;;;;;;
414;2281;1726;2022-06-30 12:00:00;;;;;;;;;
415;2281;1745;2023-06-30 12:00:00;;;;;;;;;
416;2281;1697;2024-06-30 12:00:00;;;;;;;;;
417;2288;1722;2022-06-30 12:00:00;;;;;;;;;
418;2288;1745;2023-06-30 12:00:00;;;;;;;;;
419;2288;1858;2024-06-30 12:00:00;;;;;;;;;
420;2493;1726;2022-06-30 12:00:00;;;;;;;;;
421;2493;1855;2023-06-30 12:00:00;;;;;;;;;
422;2493;1858;2024-06-30 12:00:00;;;;;;;;;
423;2509;1813;2022-06-30 12:00:00;;;;;;;;;
424;2509;1855;2023-06-30 12:00:00;;;;;;;;;
425;2509;1858;2024-06-30 12:00:00;;;;;;;;;
426;715;1772;2022-08-31 12:00:00;;;;;;;;;
427;715;1773;2023-08-31 12:00:00;;;;;;;;;
428;715;1858;2024-08-31 12:00:00;;;;;;;;;
429;729;1772;2022-07-31 12:00:00;;;;;;;;;
430;729;1773;2023-07-31 12:00:00;;;;;;;;;
431;729;1843;2024-07-31 12:00:00;;;;;;;;;
432;785;1691;2022-06-30 12:00:00;;;;;;;;;
433;785;1773;2023-06-30 12:00:00;;;;;;;;;
434;785;1697;2024-06-30 12:00:00;;;;;;;;;
435;800;1691;2022-06-30 12:00:00;;;;;;;;;
436;800;1745;2023-06-30 12:00:00;;;;;;;;;
437;800;1697;2024-06-30 12:00:00;;;;;;;;;
438;816;1691;2022-06-30 12:00:00;;;;;;;;;
439;816;1755;2023-06-30 12:00:00;;;;;;;;;
440;816;1843;2024-07-31 12:00:00;;;;;;;;;
441;822;1691;2022-06-30 12:00:00;;;;;;;;;
442;822;1773;2023-06-30 12:00:00;;;;;;;;;
443;822;1728;2024-06-30 12:00:00;;;;;;;;;
444;1808;1691;2022-07-31 12:00:00;;;;;;;;;
445;1808;1745;2023-07-31 12:00:00;;;;;;;;;
446;1808;1728;2024-07-31 12:00:00;;;;;;;;;
447;2296;1772;2022-06-30 12:00:00;;;;;;;;;
448;2296;1855;2023-06-30 12:00:00;;;;;;;;;
449;2296;1697;2024-06-30 12:00:00;;;;;;;;;
450;722;1817;2022-06-30 12:00:00;;;;;;;;;
451;722;1775;2023-06-30 12:00:00;;;;;;;;;
452;722;1697;2024-06-30 12:00:00;;;;;;;;;
453;746;1687;2022-06-30 12:00:00;;;;;;;;;
454;746;1773;2023-06-30 12:00:00;;;;;;;;;
455;746;1692;2024-06-30 12:00:00;;;;;;;;;
456;923;1696;2022-07-31 12:00:00;;;;;;;;;
457;923;1773;2023-07-31 12:00:00;;;;;;;;;
458;923;1843;2024-07-31 12:00:00;;;;;;;;;
459;1542;1716;2022-06-30 12:00:00;;;;;;;;;
460;1542;1755;2023-06-30 12:00:00;;;;;;;;;
461;1542;1784;2024-06-30 12:00:00;;;;;;;;;
462;1572;1715;2022-06-30 12:00:00;;;;;;;;;
463;1572;1755;2023-06-30 12:00:00;;;;;;;;;
464;1572;1697;2024-06-30 12:00:00;;;;;;;;;
