id;type;autorisationNumber;startDate;endDate;userId
141;TRI;FI-234/13;2023-12-29 12:00:00;2026-12-31 12:00:00;57
142;TRE;FE-234/13;2023-12-29 12:00:00;2026-12-31 12:00:00;57
143;FI_ATPL;;2023-12-29 12:00:00;2026-12-31 12:00:00;57
144;TRI;FI-407/17;2023-08-23 12:00:00;2026-05-31 12:00:00;212
145;TRE;FE-407/17;2023-05-12 12:00:00;2026-05-31 12:00:00;212
146;FI_ATPL;;2023-08-23 12:00:00;2026-05-31 12:00:00;212
147;TRI;FI-10/98;2023-04-28 12:00:00;2026-06-30 12:00:00;124
148;TRE;FE-10/98;2023-04-28 12:00:00;2026-06-30 12:00:00;124
149;FI_ATPL;;2023-04-28 12:00:00;2026-06-30 12:00:00;124
150;TRI;FI-162/06;2023-01-16 12:00:00;2026-01-31 12:00:00;66
151;TRE;FE-162/06;2023-06-16 12:00:00;2026-06-30 12:00:00;66
152;FI_ATPL;;2023-01-16 12:00:00;2026-01-31 12:00:00;66
153;TRI;FI-196/08;2022-12-22 12:00:00;2025-12-31 12:00:00;72
154;TRE;FE-196/08;2023-06-16 12:00:00;2026-06-30 12:00:00;72
155;FI_ATPL;;2022-12-22 12:00:00;2025-12-31 12:00:00;72
156;TRI;FI-242/14;2021-12-06 12:00:00;2024-11-30 12:00:00;78
157;TRE;FE-242/14;2021-12-06 12:00:00;2025-01-31 12:00:00;78
158;FI_ATPL;;2023-09-04 12:00:00;2024-11-30 12:00:00;78
159;TRI;FI-403/17;2024-02-23 12:00:00;2027-02-28 12:00:00;139
160;TRE;FE-403/17;2024-02-23 12:00:00;2027-02-28 12:00:00;139
161;TRI;FI-181/07;2023-01-16 12:00:00;2026-01-31 12:00:00;146
162;TRE;FE-181/07;2023-01-16 12:00:00;2026-01-31 12:00:00;146
163;FI_ATPL;;2023-01-16 12:00:00;2026-01-31 12:00:00;146
164;TRI;FI-197/08;2023-03-03 12:00:00;2026-03-31 12:00:00;80
165;TRE;FE-197/08;2023-03-03 12:00:00;2026-03-31 12:00:00;80
166;TRI;FI-247/14;2022-05-19 12:00:00;2025-04-30 12:00:00;88
167;TRE;FE-247/14;2022-05-19 12:00:00;2025-04-30 12:00:00;88
168;TRI;FI-233/13;2021-12-23 12:00:00;2024-11-30 12:00:00;89
169;TRE;FE-233/13;2021-12-23 12:00:00;2024-11-30 12:00:00;89
170;TRI;FI-166/07;2022-11-07 12:00:00;2025-12-31 12:00:00;90
171;TRE;FE-166/07;2022-11-07 12:00:00;2025-09-30 12:00:00;90
172;FI_ATPL;;2022-11-07 12:00:00;2025-12-31 12:00:00;90
173;TRI;FI-227/13;2023-03-31 12:00:00;2026-03-31 12:00:00;98
174;TRE;FE-227/13;2023-03-31 12:00:00;2026-03-31 12:00:00;98
175;TRI;FI-221/13;2022-08-23 12:00:00;2025-06-30 12:00:00;50
176;TRE;FE-221/13;2022-08-23 12:00:00;2025-06-30 12:00:00;50
177;TRI;FI-423/17;2024-02-23 12:00:00;2027-02-28 12:00:00;154
178;TRE;FE-423/17;2024-02-23 12:00:00;2027-02-28 12:00:00;154
179;FI_ATPL;;2024-02-23 12:00:00;2027-02-28 12:00:00;154
180;TRI;FI-442/18;2023-12-29 12:00:00;2026-12-31 12:00:00;675
181;TRE;FE-442/18;2022-10-18 12:00:00;2025-11-30 12:00:00;675
182;TRI;FI-451/18;2023-12-29 12:00:00;2026-12-31 12:00:00;722
183;TRE;FE-451/18;2023-12-29 12:00:00;2026-12-31 12:00:00;722
184;TRI;FI-399/17;2023-01-17 12:00:00;2026-01-31 12:00:00;738
185;TRE;FE-399/17;2024-01-30 12:00:00;2027-01-31 12:00:00;738
186;TRI;FI-569/22;2022-06-13 12:00:00;2025-05-31 12:00:00;1408
187;FI_ATPL;;2024-02-21 12:00:00;2025-05-31 12:00:00;1408
188;TRI;FI-579/22;2022-07-25 12:00:00;2025-06-30 12:00:00;1439
189;FI_ATPL;;2024-02-21 12:00:00;2025-06-30 12:00:00;1439
190;TRI;FI-547/22;2022-03-04 12:00:00;2025-02-28 12:00:00;1441
191;TRE;FE-547/22;2023-07-20 12:00:00;2025-02-28 12:00:00;1441
192;FI_ATPL;;2024-02-21 12:00:00;2025-02-28 12:00:00;1441
193;TRI;FI-410/17;2024-03-13 12:00:00;2027-01-31 12:00:00;235
194;TRE;FE-410/17;2024-03-13 12:00:00;2027-01-31 12:00:00;235
195;FI_ATPL;;2024-03-13 12:00:00;2027-01-31 12:00:00;235
196;TRI;FI-662/24;2024-04-03 12:00:00;2027-04-30 12:00:00;1742
