id;date_of_origin;presence_marked;instructor_id
285;2023-03-08 12:00:00;1;535
286;2024-09-08 12:00:00;1;714
287;2023-04-01 12:00:00;1;675
288;2023-02-02 12:00:00;1;738
289;2024-04-01 12:00:00;1;675
290;2025-03-01 12:00:00;1;675
291;2021-07-07 12:00:00;1;298
292;2023-02-06 12:00:00;1;130
293;2025-01-07 12:00:00;1;359
294;2022-07-07 12:00:00;1;148
295;2022-04-07 12:00:00;1;402
296;2023-12-07 12:00:00;1;377
297;2021-02-08 12:00:00;1;196
298;2024-05-08 12:00:00;1;359
299;2024-09-08 12:00:00;1;459
300;2022-09-01 12:00:00;1;1571
301;2023-02-01 12:00:00;1;722
302;2025-04-12 12:00:00;1;722
303;2022-08-07 12:00:00;1;291
304;2023-06-07 12:00:00;1;419
305;2023-06-06 12:00:00;1;459
306;2022-11-06 12:00:00;1;459
307;2022-07-06 12:00:00;1;243
308;2024-11-06 12:00:00;1;401
309;2025-08-05 12:00:00;1;785
310;2024-03-01 12:00:00;1;138
311;2024-01-04 12:00:00;1;386
312;2025-12-04 12:00:00;1;386
313;2022-07-07 12:00:00;1;242
314;2022-11-07 12:00:00;1;359
315;2023-09-07 12:00:00;1;739
316;2021-12-12 12:00:00;1;393
317;2022-04-12 12:00:00;1;739
318;2025-03-11 12:00:00;1;684
319;2021-10-10 12:00:00;1;700
320;2023-01-11 12:00:00;1;739
321;2024-01-11 12:00:00;1;243
322;2022-04-06 12:00:00;1;344
323;2022-05-04 12:00:00;1;378
324;2023-08-05 12:00:00;1;694
325;2024-12-05 12:00:00;1;748
326;2024-06-04 12:00:00;1;227
327;2025-02-04 12:00:00;1;714
328;2024-08-04 12:00:00;1;705
329;2021-05-07 12:00:00;1;714
330;2023-03-06 12:00:00;1;298
331;2024-08-06 12:00:00;1;367
332;2021-08-09 12:00:00;1;700
333;2024-01-09 12:00:00;1;739
334;2024-06-09 12:00:00;1;378
335;2023-06-07 12:00:00;1;242
336;2022-12-06 12:00:00;1;367
337;2024-08-06 12:00:00;1;1571
338;2023-03-10 12:00:00;1;154
339;2023-10-11 12:00:00;1;730
340;2023-12-11 12:00:00;1;748
341;2021-01-08 12:00:00;1;298
342;2023-10-08 12:00:00;1;298
343;2024-08-08 12:00:00;1;700
344;2022-05-08 12:00:00;1;298
345;2023-09-08 12:00:00;1;367
346;2025-04-08 12:00:00;1;694
347;2023-03-07 12:00:00;1;298
348;2022-06-06 12:00:00;1;459
349;2025-01-06 12:00:00;1;359
350;2021-08-09 12:00:00;1;115
351;2022-11-09 12:00:00;1;304
352;2025-05-09 12:00:00;1;764
353;2021-06-07 12:00:00;1;393
354;2022-06-06 12:00:00;1;401
355;2025-06-07 12:00:00;1;378
356;2022-10-03 12:00:00;1;148
357;2022-07-02 12:00:00;1;243
358;2024-10-01 12:00:00;1;393
359;2026-02-03 12:00:00;1;756
360;2021-06-07 12:00:00;1;154
361;2023-11-05 12:00:00;1;748
362;2025-07-07 12:00:00;1;694
363;2023-02-07 12:00:00;1;148
364;2022-05-06 12:00:00;1;359
365;2023-05-06 12:00:00;1;748
366;2024-05-01 12:00:00;1;291
367;2024-04-01 12:00:00;1;433
