id;jeppesen_code;validity_end;user_id;category;validity_start;training_id
272;CHL;2022-12-31 12:00:00;351;;;
273;CHL;2023-03-31 12:00:00;351;;;
274;CHL;2023-09-30 12:00:00;351;;;
275;CHL;2024-03-31 12:00:00;351;;;
276;CHL;2024-09-30 12:00:00;351;;;
277;CHL;2022-04-30 12:00:00;359;;;
278;CHL;2022-10-31 12:00:00;359;;;
279;CHL;2023-04-30 12:00:00;359;;;
280;CHL;2023-10-31 12:00:00;359;;;
281;CHL;2024-04-30 12:00:00;359;;;
282;CHL;2024-10-31 12:00:00;359;;;
283;CHL;2021-10-31 12:00:00;360;;;
284;CHL;2022-04-30 12:00:00;360;;;
285;CHL;2022-10-31 12:00:00;360;;;
286;CHL;2023-04-30 12:00:00;360;;;
287;CHL;2023-10-31 12:00:00;360;;;
288;CHL;2024-04-30 12:00:00;360;;;
289;CHL;2024-10-31 12:00:00;360;;;
290;CHL;2021-08-31 12:00:00;367;;;
291;CHL;2022-02-28 12:00:00;367;;;
292;CHL;2022-08-31 12:00:00;367;;;
293;CHL;2023-02-28 12:00:00;367;;;
294;CHL;2023-08-31 12:00:00;367;;;
295;CHL;2024-02-29 12:00:00;367;;;
296;CHL;2024-08-31 12:00:00;367;;;
297;CHL;2023-10-31 12:00:00;368;;;
298;CHL;2024-04-30 12:00:00;368;;;
299;CHL;2024-10-31 12:00:00;368;;;
300;CHL;2022-01-31 12:00:00;369;;;
301;CHL;2022-07-31 12:00:00;369;;;
302;CHL;2023-01-31 12:00:00;369;;;
303;CHL;2023-07-31 12:00:00;369;;;
304;CHL;2024-01-31 12:00:00;369;;;
305;CHL;2024-07-31 12:00:00;369;;;
306;CHL;2021-12-31 12:00:00;377;;;
307;CHL;2022-06-30 12:00:00;377;;;
308;CHL;2022-12-31 12:00:00;377;;;
309;CHL;2023-06-30 12:00:00;377;;;
310;CHL;2023-12-31 12:00:00;377;;;
311;CHL;2024-06-30 12:00:00;377;;;
312;CHL;2021-12-31 12:00:00;378;;;
313;CHL;2022-06-30 12:00:00;378;;;
314;CHL;2022-12-31 12:00:00;378;;;
315;CHL;2023-06-30 12:00:00;378;;;
316;CHL;2023-12-31 12:00:00;378;;;
317;CHL;2024-06-30 12:00:00;378;;;
318;CHL;2021-12-31 12:00:00;385;;;
319;CHL;2022-06-30 12:00:00;385;;;
320;CHL;2022-12-31 12:00:00;385;;;
321;CHL;2023-06-30 12:00:00;385;;;
322;CHL;2023-12-31 12:00:00;385;;;
323;CHL;2024-06-30 12:00:00;385;;;
324;CHL;2024-12-31 12:00:00;385;;;
325;CHL;2022-06-30 12:00:00;386;;;
326;CHL;2022-12-31 12:00:00;386;;;
327;CHL;2023-06-30 12:00:00;386;;;
328;CHL;2023-12-31 12:00:00;386;;;
329;CHL;2024-06-30 12:00:00;386;;;
330;CHL;2024-09-30 12:00:00;386;;;
331;CHL;2021-09-30 12:00:00;393;;;
332;CHL;2022-03-31 12:00:00;393;;;
333;CHL;2022-09-30 12:00:00;393;;;
334;CHL;2023-03-31 12:00:00;393;;;
335;CHL;2023-09-30 12:00:00;393;;;
336;CHL;2024-03-31 12:00:00;393;;;
337;CHL;2024-09-30 12:00:00;393;;;
338;CHL;2022-01-31 12:00:00;394;;;
339;CHL;2022-08-31 12:00:00;394;;;
340;CHL;2023-02-28 12:00:00;394;;;
341;CHL;2023-08-31 12:00:00;394;;;
342;CHL;2024-02-29 12:00:00;394;;;
343;CHL;2024-08-31 12:00:00;394;;;
344;CHL;2021-10-31 12:00:00;401;;;
345;CHL;2022-04-30 12:00:00;401;;;
346;CHL;2022-10-31 12:00:00;401;;;
347;CHL;2023-04-30 12:00:00;401;;;
348;CHL;2023-10-31 12:00:00;401;;;
349;CHL;2024-04-30 12:00:00;401;;;
350;CHL;2024-10-31 12:00:00;401;;;
351;CHL;2022-01-31 12:00:00;402;;;
352;CHL;2022-07-31 12:00:00;402;;;
353;CHL;2023-01-31 12:00:00;402;;;
354;CHL;2023-07-31 12:00:00;402;;;
355;CHL;2024-01-31 12:00:00;402;;;
356;CHL;2024-07-31 12:00:00;402;;;
357;CHL;2021-07-31 12:00:00;418;;;
358;CHL;2022-01-31 12:00:00;418;;;
359;CHL;2022-07-31 12:00:00;418;;;
360;CHL;2023-01-31 12:00:00;418;;;
361;CHL;2023-07-31 12:00:00;418;;;
362;CHL;2024-01-31 12:00:00;418;;;
363;CHL;2024-07-31 12:00:00;418;;;
364;CHL;2024-10-31 12:00:00;418;;;
365;CHL;2023-06-30 12:00:00;419;;;
366;CHL;2023-09-30 12:00:00;419;;;
367;CHL;2024-03-31 12:00:00;419;;;
368;CHL;2024-09-30 12:00:00;419;;;
369;CHL;2021-11-30 12:00:00;426;;;
370;CHL;2022-05-31 12:00:00;426;;;
371;CHL;2022-11-30 12:00:00;426;;;
372;CHL;2023-05-31 12:00:00;426;;;
373;CHL;2023-11-30 12:00:00;426;;;
374;CHL;2024-05-31 12:00:00;426;;;
375;CHL;2024-11-30 12:00:00;426;;;
376;CHL;2024-09-30 12:00:00;433;;;
377;CHL;2024-10-31 12:00:00;434;;;
378;CHL;2021-12-31 12:00:00;442;;;
379;CHL;2022-06-30 12:00:00;442;;;
380;CHL;2022-12-31 12:00:00;442;;;
381;CHL;2023-06-30 12:00:00;442;;;
382;CHL;2023-12-31 12:00:00;442;;;
383;CHL;2024-06-30 12:00:00;442;;;
384;CHL;2021-12-31 12:00:00;443;;;
385;CHL;2022-06-30 12:00:00;443;;;
386;CHL;2022-12-31 12:00:00;443;;;
387;CHL;2023-06-30 12:00:00;443;;;
388;CHL;2023-12-31 12:00:00;443;;;
389;CHL;2024-06-30 12:00:00;443;;;
390;CHL;2024-12-31 12:00:00;443;;;
391;CHL;2021-12-31 12:00:00;450;;;
392;CHL;2022-06-30 12:00:00;450;;;
393;CHL;2022-12-31 12:00:00;450;;;
394;CHL;2023-06-30 12:00:00;450;;;
395;CHL;2023-12-31 12:00:00;450;;;
396;CHL;2024-06-30 12:00:00;450;;;
397;CHL;2024-12-31 12:00:00;450;;;
398;CHL;2024-10-31 12:00:00;459;;;
399;CHL;2021-12-31 12:00:00;460;;;
400;CHL;2022-06-30 12:00:00;460;;;
401;CHL;2022-12-31 12:00:00;460;;;
402;CHL;2023-06-30 12:00:00;460;;;
403;CHL;2023-12-31 12:00:00;460;;;
404;CHL;2024-05-31 12:00:00;468;;;
405;CHL;2024-11-30 12:00:00;468;;;
406;CHL;2022-10-31 12:00:00;476;;;
407;CHL;2023-04-30 12:00:00;476;;;
408;CHL;2023-10-31 12:00:00;476;;;
409;CHL;2024-04-30 12:00:00;476;;;
410;CHL;2024-10-31 12:00:00;476;;;
411;CHL;2021-12-31 12:00:00;477;;;
412;CHL;2022-06-30 12:00:00;477;;;
413;CHL;2022-12-31 12:00:00;477;;;
414;CHL;2023-06-30 12:00:00;477;;;
415;CHL;2023-12-31 12:00:00;477;;;
416;CHL;2024-06-30 12:00:00;477;;;
417;CHL;2024-12-31 12:00:00;477;;;
418;CHL;2022-01-31 12:00:00;484;;;
419;CHL;2022-07-31 12:00:00;484;;;
420;CHL;2023-01-31 12:00:00;484;;;
421;CHL;2023-07-31 12:00:00;484;;;
422;CHL;2024-01-31 12:00:00;484;;;
423;CHL;2024-07-31 12:00:00;484;;;
424;CHL;2025-01-31 12:00:00;484;;;
425;CHL;2023-10-31 12:00:00;485;;;
426;CHL;2024-04-30 12:00:00;485;;;
427;CHL;2024-10-31 12:00:00;485;;;
428;CHL;2022-02-28 12:00:00;486;;;
429;CHL;2022-05-31 12:00:00;486;;;
430;CHL;2022-11-30 12:00:00;486;;;
431;CHL;2023-05-31 12:00:00;486;;;
432;CHL;2023-11-30 12:00:00;486;;;
433;CHL;2024-05-31 12:00:00;486;;;
434;CHL;2024-11-30 12:00:00;486;;;
435;CHL;2021-09-30 12:00:00;492;;;
436;CHL;2022-03-31 12:00:00;492;;;
437;CHL;2022-09-30 12:00:00;492;;;
438;CHL;2023-03-31 12:00:00;492;;;
439;CHL;2023-09-30 12:00:00;492;;;
440;CHL;2024-03-31 12:00:00;492;;;
441;CHL;2024-09-30 12:00:00;492;;;
442;CHL;2021-09-30 12:00:00;493;;;
443;CHL;2022-03-31 12:00:00;493;;;
444;CHL;2022-09-30 12:00:00;493;;;
445;CHL;2023-03-31 12:00:00;493;;;
446;CHL;2023-09-30 12:00:00;493;;;
447;CHL;2024-03-31 12:00:00;493;;;
448;CHL;2024-09-30 12:00:00;493;;;
449;CHL;2023-09-30 12:00:00;502;;;
