id;dateOfOrigin;presenceMarked;instructorId
325;2024-03-27 12:00:00;1;377
326;2021-02-26 12:00:00;1;227
327;2023-11-13 12:00:00;1;243
328;2023-05-30 12:00:00;1;694
329;2023-04-20 12:00:00;1;477
330;2022-06-07 12:00:00;1;9
331;2021-02-18 12:00:00;1;50
332;2023-06-29 12:00:00;1;80
333;2022-06-14 12:00:00;1;243
334;2022-10-03 12:00:00;1;714
335;2023-03-29 12:00:00;1;402
336;2023-12-04 12:00:00;1;401
337;2023-07-03 12:00:00;1;377
338;2021-07-26 12:00:00;1;148
339;2022-07-22 12:00:00;1;748
340;2023-11-30 12:00:00;1;40
341;2022-12-05 12:00:00;1;433
342;2023-11-27 12:00:00;1;739
343;2021-07-21 12:00:00;1;402
344;2023-07-30 12:00:00;1;694
345;2021-02-08 12:00:00;1;148
346;2023-05-29 12:00:00;1;367
347;2023-08-21 12:00:00;1;714
348;2023-06-07 12:00:00;1;738
349;2022-09-19 12:00:00;1;748
350;2023-12-21 12:00:00;1;738
351;2023-07-17 12:00:00;1;57
352;2021-12-08 12:00:00;1;402
353;2023-03-27 12:00:00;1;738
354;2023-04-10 12:00:00;1;748
355;2022-03-29 12:00:00;1;57
356;2021-07-28 12:00:00;1;23
357;2023-09-02 12:00:00;1;433
358;2022-07-18 12:00:00;1;694
359;2023-04-15 12:00:00;1;57
360;2023-10-08 12:00:00;1;243
361;2024-01-06 12:00:00;1;78
362;2022-04-29 12:00:00;1;227
363;2021-03-15 12:00:00;1;738
364;2023-05-11 12:00:00;1;730
365;2023-08-13 12:00:00;1;367
366;2021-10-27 12:00:00;1;154
367;2023-06-26 12:00:00;1;64
368;2023-06-15 12:00:00;1;359
369;2022-05-04 12:00:00;1;6963
370;2024-03-08 12:00:00;1;756
371;2022-11-18 12:00:00;1;840
372;2022-01-09 12:00:00;1;1571
373;2023-05-30 12:00:00;1;730
374;2022-07-11 12:00:00;1;359
375;2024-02-01 12:00:00;1;212
376;2021-01-07 12:00:00;1;90
377;2021-03-28 12:00:00;1;764
378;2021-03-30 12:00:00;1;90
379;2023-04-12 12:00:00;1;477
380;2022-07-11 12:00:00;1;50
381;2021-03-18 12:00:00;1;90
382;2023-02-02 12:00:00;1;66
383;2021-01-06 12:00:00;1;476
384;2024-01-18 12:00:00;1;714
385;2023-12-04 12:00:00;1;377
386;2023-10-17 12:00:00;1;785
387;2024-01-03 12:00:00;1;377
388;2022-04-20 12:00:00;1;402
389;2024-02-13 12:00:00;1;748
390;2023-02-15 12:00:00;1;57
391;2022-03-24 12:00:00;1;738
392;2022-09-27 12:00:00;1;378
393;2022-05-01 12:00:00;1;89
394;2021-08-23 12:00:00;1;58
395;2021-02-22 12:00:00;1;154
396;2021-01-17 12:00:00;1;50
397;2023-04-15 12:00:00;1;738
398;2024-03-09 12:00:00;1;72
399;2021-07-28 12:00:00;1;242
400;2023-04-15 12:00:00;1;747
401;2021-07-28 12:00:00;1;235
402;2023-08-28 12:00:00;1;694
403;2021-05-29 12:00:00;1;66
404;2021-07-01 12:00:00;1;291
405;2021-07-20 12:00:00;1;291
406;2021-07-20 12:00:00;1;298
407;2024-03-20 12:00:00;1;738
408;2024-01-22 12:00:00;1;402
409;2024-04-03 12:00:00;1;88
410;2021-09-06 12:00:00;1;291
411;2022-01-30 12:00:00;1;80
412;2021-05-25 12:00:00;1;23
413;2023-12-10 12:00:00;1;840
414;2023-06-10 12:00:00;1;40
415;2022-03-21 12:00:00;1;764
416;2022-04-27 12:00:00;1;730
417;2022-03-03 12:00:00;1;66
418;2021-06-08 12:00:00;1;50
419;2023-05-16 12:00:00;1;1571
420;2022-10-16 12:00:00;1;243
421;2023-07-24 12:00:00;1;243
422;2023-01-02 12:00:00;1;722
423;2023-04-12 12:00:00;1;730
424;2021-10-29 12:00:00;1;40
425;2021-06-05 12:00:00;1;6963
426;2022-07-26 12:00:00;1;243
427;2021-12-03 12:00:00;1;50
428;2022-06-28 12:00:00;1;738
429;2022-07-06 12:00:00;1;78
430;2021-11-15 12:00:00;1;402
431;2023-06-15 12:00:00;1;378
432;2023-08-24 12:00:00;1;64
433;2024-03-17 12:00:00;1;932
434;2023-07-08 12:00:00;1;108
435;2023-02-19 12:00:00;1;700
436;2023-04-14 12:00:00;1;23
437;2022-06-27 12:00:00;1;6954
438;2022-07-25 12:00:00;1;72
439;2023-08-07 12:00:00;1;402
440;2022-06-08 12:00:00;1;218
441;2023-08-07 12:00:00;1;378
442;2022-05-09 12:00:00;1;6963
443;2023-07-25 12:00:00;1;739
444;2023-03-13 12:00:00;1;694
445;2023-06-15 12:00:00;1;377
446;2022-08-28 12:00:00;1;130
447;2022-09-22 12:00:00;1;402
448;2024-03-04 12:00:00;1;66
449;2022-11-16 12:00:00;1;359
450;2023-06-07 12:00:00;1;402
451;2023-11-24 12:00:00;1;98
452;2021-11-22 12:00:00;1;378
453;2022-01-23 12:00:00;1;57
454;2023-11-18 12:00:00;1;763
455;2022-01-23 12:00:00;1;58
456;2022-05-11 12:00:00;1;72
457;2022-06-25 12:00:00;1;88
458;2023-05-26 12:00:00;1;764
459;2022-09-20 12:00:00;1;748
460;2023-05-01 12:00:00;1;146
461;2022-06-09 12:00:00;1;9
462;2022-05-08 12:00:00;1;714
463;2023-01-25 12:00:00;1;57
464;2023-02-21 12:00:00;1;402
465;2021-08-10 12:00:00;1;401
466;2022-01-25 12:00:00;1;477
467;2024-02-23 12:00:00;1;377
468;2023-10-07 12:00:00;1;730
469;2023-03-05 12:00:00;1;146
470;2023-11-04 12:00:00;1;401
471;2022-08-07 12:00:00;1;730
472;2021-09-08 12:00:00;1;40
473;2024-03-11 12:00:00;1;694
474;2022-01-14 12:00:00;1;694
475;2022-09-15 12:00:00;1;402
