id;line_check_id;date_of_origin;carrier;flight_number;start_station;end_station;aircraft_type
341;337;2024-08-06 12:00:00;;;;;
342;338;2023-03-10 12:00:00;;;;;
343;339;2023-10-11 12:00:00;;;;;
344;340;2023-12-11 12:00:00;;;;;
345;341;2021-01-08 12:00:00;;;;;
346;342;2023-10-08 12:00:00;;;;;
347;343;2024-08-08 12:00:00;;;;;
348;344;2022-05-08 12:00:00;;;;;
349;345;2023-09-08 12:00:00;;;;;
350;346;2025-04-08 12:00:00;;;;;
351;347;2023-03-07 12:00:00;;;;;
352;348;2022-06-06 12:00:00;;;;;
353;349;2025-01-06 12:00:00;;;;;
354;350;2021-08-09 12:00:00;;;;;
355;351;2022-11-09 12:00:00;;;;;
356;352;2025-05-09 12:00:00;;;;;
357;353;2021-06-07 12:00:00;;;;;
358;354;2022-06-06 12:00:00;;;;;
359;355;2025-06-07 12:00:00;;;;;
360;356;2022-10-03 12:00:00;;;;;
361;357;2022-07-02 12:00:00;;;;;
362;358;2024-10-01 12:00:00;;;;;
363;359;2026-02-03 12:00:00;;;;;
364;360;2021-06-07 12:00:00;;;;;
365;361;2023-11-05 12:00:00;;;;;
366;362;2025-07-07 12:00:00;;;;;
367;363;2023-02-07 12:00:00;;;;;
368;364;2022-05-06 12:00:00;;;;;
369;365;2023-05-06 12:00:00;;;;;
370;366;2024-05-01 12:00:00;;;;;
371;367;2024-04-01 12:00:00;;;;;
372;368;2026-06-01 12:00:00;;;;;
373;369;2023-03-07 12:00:00;;;;;
374;370;2022-08-06 12:00:00;;;;;
375;371;2024-12-07 12:00:00;;;;;
376;372;2025-12-01 12:00:00;;;;;
377;373;2022-10-11 12:00:00;;;;;
378;374;2023-04-11 12:00:00;;;;;
379;375;2024-08-11 12:00:00;;;;;
380;376;2021-11-10 12:00:00;;;;;
381;377;2022-06-10 12:00:00;;;;;
382;378;2024-11-11 12:00:00;;;;;
383;379;2023-04-07 12:00:00;;;;;
384;380;2022-07-06 12:00:00;;;;;
385;381;2023-10-07 12:00:00;;;;;
386;382;2023-06-02 12:00:00;;;;;
387;383;2022-12-04 12:00:00;;;;;
388;384;2023-04-04 12:00:00;;;;;
389;111;2024-08-04 12:00:00;;;;;
390;385;2022-09-11 12:00:00;;;;;
391;386;2023-09-11 12:00:00;;;;;
392;387;2025-04-11 12:00:00;;;;;
393;388;2023-01-01 12:00:00;;;;;
394;389;2023-11-01 12:00:00;;;;;
395;390;2024-08-01 12:00:00;;;;;
396;391;2024-12-01 12:00:00;;;;;
397;392;2023-03-07 12:00:00;;;;;
398;393;2022-06-06 12:00:00;;;;;
399;394;2025-02-06 12:00:00;;;;;
400;395;2022-05-06 12:00:00;;;;;
401;396;2023-04-05 12:00:00;;;;;
402;397;2023-10-07 12:00:00;;;;;
403;398;2023-02-10 12:00:00;;;;;
404;399;2022-10-10 12:00:00;;;;;
405;400;2024-10-10 12:00:00;;;;;
406;401;2023-04-07 12:00:00;;;;;
407;402;2023-06-07 12:00:00;;;;;
408;403;2023-02-08 12:00:00;;;;;
409;380;2022-07-06 12:00:00;;;;;
410;404;2023-11-05 12:00:00;;;;;
411;405;2023-01-07 12:00:00;;;;;
412;406;2022-05-06 12:00:00;;;;;
413;407;2023-12-04 12:00:00;;;;;
414;408;2025-06-05 12:00:00;;;;;
415;409;2024-06-05 12:00:00;;;;;
416;410;2021-05-07 12:00:00;;;;;
417;411;2024-04-06 12:00:00;;;;;
418;412;2024-11-07 12:00:00;;;;;
419;413;2021-06-09 12:00:00;;;;;
420;414;2022-12-09 12:00:00;;;;;
421;415;2023-12-09 12:00:00;;;;;
422;416;2023-02-03 12:00:00;;;;;
423;417;2023-02-03 12:00:00;;;;;
424;418;2023-08-03 12:00:00;;;;;
425;419;2026-01-03 12:00:00;;;;;
426;420;2024-01-05 12:00:00;;;;;
427;421;2023-03-06 12:00:00;;;;;
428;422;2021-07-07 12:00:00;;;;;
429;423;2023-06-07 12:00:00;;;;;
430;424;2025-03-06 12:00:00;;;;;
431;425;2022-03-06 12:00:00;;;;;
432;426;2023-05-04 12:00:00;;;;;
433;427;2024-09-05 12:00:00;;;;;
434;428;2021-08-07 12:00:00;;;;;
435;429;2023-12-05 12:00:00;;;;;
436;430;2023-09-07 12:00:00;;;;;
437;431;2023-04-03 12:00:00;;;;;
438;432;2023-09-03 12:00:00;;;;;
439;433;2023-07-02 12:00:00;;;;;
440;434;2024-03-02 12:00:00;;;;;
441;435;2021-09-08 12:00:00;;;;;
442;436;2023-10-08 12:00:00;;;;;
443;437;2024-10-08 12:00:00;;;;;
444;438;2021-07-01 12:00:00;;;;;
445;439;2023-02-03 12:00:00;;;;;
446;440;2024-12-01 12:00:00;;;;;
447;441;2026-03-03 12:00:00;;;;;
448;442;2023-03-09 12:00:00;;;;;
449;443;2024-12-09 12:00:00;;;;;
450;444;2023-02-09 12:00:00;;;;;
451;445;2023-11-09 12:00:00;;;;;
452;446;2021-07-07 12:00:00;;;;;
453;447;2022-12-07 12:00:00;;;;;
454;448;2024-12-07 12:00:00;;;;;
455;449;2024-11-05 12:00:00;;;;;
456;450;2024-07-05 12:00:00;;;;;
457;451;2022-07-06 12:00:00;;;;;
458;83;2023-04-05 12:00:00;;;;;
459;94;2023-11-05 12:00:00;;;;;
460;58;2025-03-04 12:00:00;;;;;
461;452;2021-12-10 12:00:00;;;;;
462;453;2023-08-11 12:00:00;;;;;
463;454;2023-04-11 12:00:00;;;;;
464;455;2021-10-08 12:00:00;;;;;
465;456;2022-08-08 12:00:00;;;;;
466;457;2025-07-08 12:00:00;;;;;
467;458;2024-07-05 12:00:00;;;;;
468;459;2023-03-04 12:00:00;;;;;
469;460;2025-05-03 12:00:00;;;;;
470;461;2023-02-09 12:00:00;;;;;
471;462;2024-03-09 12:00:00;;;;;
472;463;2025-06-01 12:00:00;;;;;
473;464;2025-03-01 12:00:00;;;;;
474;465;2023-10-09 12:00:00;;;;;
475;466;2025-02-09 12:00:00;;;;;
476;467;2021-03-10 12:00:00;;;;;
477;468;2023-07-09 12:00:00;;;;;
478;469;2024-04-10 12:00:00;;;;;
479;470;2022-10-09 12:00:00;;;;;
480;471;2022-11-10 12:00:00;;;;;
